data;preco_brl_arroba;preco_bezerro_brl;preco_soja_brl;preco_milho_brl;Boi com 20@/Garrote;Boi com 20@/soja;Boi com 20@/milho;milho(80)+soja(20)
01/08/2023;240.1;2128.53;146.47;53.75;2.256017063419355;32.78487062197037;89.33953488372093;2255.357
01/09/2023;199.65;1942.03;151.34;53.88;2.0560959408454043;26.38430025109026;74.10913140311804;2286.1
01/10/2023;236.05;2006.79;142.64;58.08;2.3525132176261594;33.09730790802019;81.284435261708;2349.5199999999995
01/11/2023;232.85;2073.51;142.06;60.03;2.245950103930051;32.78192313107138;77.57787772780276;2398.337
01/12/2023;248.1;2062.12;144.75;62.63;2.4062615172734856;34.27979274611399;79.22720740859013;2482.821
01/01/2024;255.5;2060.0;141.65;69.75;2.4805825242718447;36.074832333215674;73.26164874551971;2655.565
01/02/2024;242.9;2069.41;118.09;61.45;2.34752900585191;41.138114997036155;79.05614320585842;2302.0190000000002
01/03/2024;235.05;2047.22;115.94;62.72;2.296284717812448;40.54683456960497;74.95216836734694;2323.888
01/04/2024;228.05;2056.37;124.67;61.71;2.2179860628194343;36.58458329991176;73.91022524712365;2345.8089999999997
01/05/2024;231.1;2095.73;129.95;57.56;2.2054367690494483;35.567525971527516;80.29881862404447;2264.572
01/06/2024;216.7;2088.65;136.66;58.95;2.0750245373806044;31.713742133762622;73.51993214588634;2339.261
01/07/2024;225.65;2023.79;140.23;57.32;2.2299744538712023;32.182842473079944;78.73342637822749;2315.732
01/08/2024;231.95;2050.44;137.67;59.44;2.2624412321257874;33.696520665359195;78.04508748317632;2358.0
01/09/2024;237.4;2043.79;138.78;60.7;2.3231349600497118;34.21242253927079;78.22075782537067;2397.858
01/10/2024;276.35;2134.6;140.81;65.04;2.589243886442425;39.25147361693062;84.97847478474785;2525.1040000000003
01/11/2024;320.55;2425.28;144.28;73.11;2.643406122179707;44.43443304685334;87.68978251949117;2760.005
01/12/2024;351.8;2700.59;145.04;72.69;2.605356607259895;48.5107556536128;96.79460723620856;2753.0469999999996
01/01/2025;321.55;2643.25;138.93;72.94;2.4329896907216493;46.28949830850068;88.1683575541541;2725.506
01/02/2025;326.1;2654.41;130.04;75.32;2.4570431847378513;50.15379883112889;86.59054699946894;2739.268
01/03/2025;309.7;2634.85;133.44;87.67;2.3507979581380347;46.41786570743405;70.6513060339911;3088.053
01/04/2025;320.75;2737.78;132.1;86.62;2.3431393318674254;48.56169568508706;74.05910875086585;3052.5139999999997
01/05/2025;318.85;2938.21;133.16;79.07;2.1703690342079023;47.889756683688795;80.65005691159733;2856.865
01/06/2025;306.1;2877.24;133.2;68.85;2.1277335224034144;45.96096096096097;88.91793754538854;2584.2149999999997
01/07/2025;310.65;2913.52;134.59;65.68;2.132472061286691;46.16241919904896;94.59500609013398;2507.36
01/08/2025;294.35;2817.53;139.04;63.71;2.0894187462067837;42.340333716916;92.40307644011929;2479.681
01/09/2025;310.5;2896.83;139.97;64.34;2.1437226209339175;44.3666499964278;96.51849549269505;2501.71
